질문,답변
전주시 축제는 뭐가 있을까요?,"전주국제영화제, 전주한지문화축제, 전주 한옥마을 경기전 '왕과의 산책', 전주문화재야행, 경기전 사람들, 전북청소년영화제, 전주가맥축제, 전주얼티밋뮤직페스티벌, 전주 단오, 전주세계소리축제가 있습니다."
전주국제영화제의 주요 목표는 무엇인가요?,"전주국제영화제(JIFF)는 영화계의 주류가 아닌 독립, 대안 영화를 소개하는 것에 중심을 두고 출발한 영화제이다. 매년 축제가 열릴 때마다 100여 편의 영화를 상영하고 있다. 전주국제영화제는 부산국제영화제, 부천국제판타스틱영화제와 더불어 국내 3대 영화제 중에 하나로 인정받고 있으며, 개막일부터 일주일간은 영화를 상영한다. 그리고 나머지는 수상작과 화제작을 상영하는 스케줄로 이루어져 있다. GV 시간에는 영화에 대해서 관객들이 궁금한 부분을 직접 감독과 배우에게 질문하는 시간을 가지며, 전주 거리 곳곳에서 다채로운 아티스트들의 버스킹 공연 또한 볼 수 있다. 최근 전주국제영화제는 전주가 가지는 전통, 맛의 이미지와 더하여 톡톡 튀는 이미지로 관객들에게 어필하고 있다."
매년 전주국제영화제에서 상영되는 영화의 대략적인 수는 어떻게 되나요?,"전주국제영화제(JIFF)는 영화계의 주류가 아닌 독립, 대안 영화를 소개하는 것에 중심을 두고 출발한 영화제이다. 매년 축제가 열릴 때마다 100여 편의 영화를 상영하고 있다. 전주국제영화제는 부산국제영화제, 부천국제판타스틱영화제와 더불어 국내 3대 영화제 중에 하나로 인정받고 있으며, 개막일부터 일주일간은 영화를 상영한다. 그리고 나머지는 수상작과 화제작을 상영하는 스케줄로 이루어져 있다. GV 시간에는 영화에 대해서 관객들이 궁금한 부분을 직접 감독과 배우에게 질문하는 시간을 가지며, 전주 거리 곳곳에서 다채로운 아티스트들의 버스킹 공연 또한 볼 수 있다. 최근 전주국제영화제는 전주가 가지는 전통, 맛의 이미지와 더하여 톡톡 튀는 이미지로 관객들에게 어필하고 있다."
전주국제영화제는 국내에서 어떤 영화제들과 함께 국내 3대 영화제 중 하나로 인정받고 있나요? 어떤 영화제들인가요?,"전주국제영화제(JIFF)는 영화계의 주류가 아닌 독립, 대안 영화를 소개하는 것에 중심을 두고 출발한 영화제이다. 매년 축제가 열릴 때마다 100여 편의 영화를 상영하고 있다. 전주국제영화제는 부산국제영화제, 부천국제판타스틱영화제와 더불어 국내 3대 영화제 중에 하나로 인정받고 있으며, 개막일부터 일주일간은 영화를 상영한다. 그리고 나머지는 수상작과 화제작을 상영하는 스케줄로 이루어져 있다. GV 시간에는 영화에 대해서 관객들이 궁금한 부분을 직접 감독과 배우에게 질문하는 시간을 가지며, 전주 거리 곳곳에서 다채로운 아티스트들의 버스킹 공연 또한 볼 수 있다. 최근 전주국제영화제는 전주가 가지는 전통, 맛의 이미지와 더하여 톡톡 튀는 이미지로 관객들에게 어필하고 있다."
전주국제영화제의 프로그램 구성은 어떻게 이루어지나요? 개막일부터 일주일간의 스케줄은 어떻게 진행되나요?,"전주국제영화제(JIFF)는 영화계의 주류가 아닌 독립, 대안 영화를 소개하는 것에 중심을 두고 출발한 영화제이다. 매년 축제가 열릴 때마다 100여 편의 영화를 상영하고 있다. 전주국제영화제는 부산국제영화제, 부천국제판타스틱영화제와 더불어 국내 3대 영화제 중에 하나로 인정받고 있으며, 개막일부터 일주일간은 영화를 상영한다. 그리고 나머지는 수상작과 화제작을 상영하는 스케줄로 이루어져 있다. GV 시간에는 영화에 대해서 관객들이 궁금한 부분을 직접 감독과 배우에게 질문하는 시간을 가지며, 전주 거리 곳곳에서 다채로운 아티스트들의 버스킹 공연 또한 볼 수 있다. 최근 전주국제영화제는 전주가 가지는 전통, 맛의 이미지와 더하여 톡톡 튀는 이미지로 관객들에게 어필하고 있다."
전주국제영화제에서 GV 시간에 관객들은 어떤 활동을 할 수 있나요?,"전주국제영화제(JIFF)는 영화계의 주류가 아닌 독립, 대안 영화를 소개하는 것에 중심을 두고 출발한 영화제이다. 매년 축제가 열릴 때마다 100여 편의 영화를 상영하고 있다. 전주국제영화제는 부산국제영화제, 부천국제판타스틱영화제와 더불어 국내 3대 영화제 중에 하나로 인정받고 있으며, 개막일부터 일주일간은 영화를 상영한다. 그리고 나머지는 수상작과 화제작을 상영하는 스케줄로 이루어져 있다. GV 시간에는 영화에 대해서 관객들이 궁금한 부분을 직접 감독과 배우에게 질문하는 시간을 가지며, 전주 거리 곳곳에서 다채로운 아티스트들의 버스킹 공연 또한 볼 수 있다. 최근 전주국제영화제는 전주가 가지는 전통, 맛의 이미지와 더하여 톡톡 튀는 이미지로 관객들에게 어필하고 있다."
최근 전주국제영화제는 어떤 이미지로 관객들에게 어필하고 있는가요? 이 어필의 주요 특징은 무엇인가요?,"전주국제영화제(JIFF)는 영화계의 주류가 아닌 독립, 대안 영화를 소개하는 것에 중심을 두고 출발한 영화제이다. 매년 축제가 열릴 때마다 100여 편의 영화를 상영하고 있다. 전주국제영화제는 부산국제영화제, 부천국제판타스틱영화제와 더불어 국내 3대 영화제 중에 하나로 인정받고 있으며, 개막일부터 일주일간은 영화를 상영한다. 그리고 나머지는 수상작과 화제작을 상영하는 스케줄로 이루어져 있다. GV 시간에는 영화에 대해서 관객들이 궁금한 부분을 직접 감독과 배우에게 질문하는 시간을 가지며, 전주 거리 곳곳에서 다채로운 아티스트들의 버스킹 공연 또한 볼 수 있다. 최근 전주국제영화제는 전주가 가지는 전통, 맛의 이미지와 더하여 톡톡 튀는 이미지로 관객들에게 어필하고 있다."
전주한지문화축제는 어떤 해에 처음으로 개최되었나요?,"1997년에 처음 개최된 전주한지문화축제는 해마다 5월경에 한지를 주제로 열리는 전주의 문화축제다. 이 축제는 독특한 아름다움을 가진 한지의 우수성을 대내외에 전하고 한지의 명산지인 전주의 명성을 알리기 위해 개최되고 있다. 행사에서는 조선시대 한지 생활용품 유물 전시회와 한글 고전소설 완판본과 고전소설, 고문헌 등 다양한 볼거리가 준비되어 있다. 또한 시민들과 함께 즐길 수 있는 한지 제작 체험이나 한지공예, 종이 장터, 청소년 어울마당 등 남녀노소가 즐길 수 있는 축제로 거듭나고 있다."
전주한지문화축제는 언제 주로 개최되며 어떤 주제로 열리나요?,"1997년에 처음 개최된 전주한지문화축제는 해마다 5월경에 한지를 주제로 열리는 전주의 문화축제다. 이 축제는 독특한 아름다움을 가진 한지의 우수성을 대내외에 전하고 한지의 명산지인 전주의 명성을 알리기 위해 개최되고 있다. 행사에서는 조선시대 한지 생활용품 유물 전시회와 한글 고전소설 완판본과 고전소설, 고문헌 등 다양한 볼거리가 준비되어 있다. 또한 시민들과 함께 즐길 수 있는 한지 제작 체험이나 한지공예, 종이 장터, 청소년 어울마당 등 남녀노소가 즐길 수 있는 축제로 거듭나고 있다."
전주한지문화축제의 주요 목적은 무엇인가요?,"1997년에 처음 개최된 전주한지문화축제는 해마다 5월경에 한지를 주제로 열리는 전주의 문화축제다. 이 축제는 독특한 아름다움을 가진 한지의 우수성을 대내외에 전하고 한지의 명산지인 전주의 명성을 알리기 위해 개최되고 있다. 행사에서는 조선시대 한지 생활용품 유물 전시회와 한글 고전소설 완판본과 고전소설, 고문헌 등 다양한 볼거리가 준비되어 있다. 또한 시민들과 함께 즐길 수 있는 한지 제작 체험이나 한지공예, 종이 장터, 청소년 어울마당 등 남녀노소가 즐길 수 있는 축제로 거듭나고 있다."
